REGNRSG 111,Nursing Leadership And Management,Mo 8:30AM - 1:30PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 111,Nursing Leadership And Management,TuWe 6:00AM - 12:30PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 111,Nursing Leadership And Management,TuWe 6:00AM - 12:30PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 111,Nursing Leadership And Management,TuWe 6:00AM - 12:30PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 111,Nursing Leadership And Management,TuWe 6:00AM - 12:30PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 115,Nursing Skills Competency I,Mo 1:30PM - 5:00PM,02/04/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 116,Nursing Skills Competency II,We 1:30PM - 5:00PM,02/04/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 117,Nursing Skills Competency III,Th 2:15PM - 5:45PM,02/04/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 121,Fundamentals Of Nursing,Th 8:00AM - 10:20AM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 121,Fundamentals Of Nursing,We 7:00AM - 8:15PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 121,Fundamentals Of Nursing,Th 8:00AM - 10:20AM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 121,Fundamentals Of Nursing,Tu 7:00AM - 8:15PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 121,Fundamentals Of Nursing,Th 8:00AM - 10:20AM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 121,Fundamentals Of Nursing,Mo 7:00AM - 10:10PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 121,Fundamentals Of Nursing,Th 8:00AM - 10:20AM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 121,Fundamentals Of Nursing,Mo 7:00AM - 10:10PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 122,Introduction To Medical Surgical Nursing,Th 8:00AM - 10:50AM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 122,Introduction To Medical Surgical Nursing,Mo 7:00AM - 7:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 122,Introduction To Medical Surgical Nursing,Th 8:00AM - 10:50AM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 122,Introduction To Medical Surgical Nursing,We 7:00AM - 7:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 122,Introduction To Medical Surgical Nursing,Th 8:00AM - 10:50AM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 122,Introduction To Medical Surgical Nursing,Tu 7:00AM - 7:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 122,Introduction To Medical Surgical Nursing,Th 8:00AM - 10:50AM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 122,Introduction To Medical Surgical Nursing,Mo 7:00AM - 7:50PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 123,Nursing Process And Communication,Fr 12:00PM - 2:05PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 126,Medical-Surgical Nursing I,ThFr 8:00AM - 11:20AM,04/08/2019 - 06/02/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 126,Medical-Surgical Nursing I,Mo 6:00AM - 6:30PM,04/08/2019 - 06/02/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 126,Medical-Surgical Nursing I,ThFr 8:00AM - 11:20AM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 126,Medical-Surgical Nursing I,Mo 6:00AM - 6:30PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 126,Medical-Surgical Nursing I,ThFr 8:00AM - 11:20AM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 126,Medical-Surgical Nursing I,Tu 6:00AM - 6:30PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 126,Medical-Surgical Nursing I,ThFr 8:00AM - 11:20AM,04/08/2019 - 06/02/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 126,Medical-Surgical Nursing I,Tu 6:00AM - 6:30PM,04/08/2019 - 06/02/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 127,Medical-Surgical Nursing II,MoWe 7:00AM - 10:30AM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 127,Medical-Surgical Nursing II,Th 6:00AM - 6:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 127,Medical-Surgical Nursing II,We 7:00AM - 1:50PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 127,Medical-Surgical Nursing II,Fr 6:00AM - 6:30PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 127,Medical-Surgical Nursing II,MoWe 7:00AM - 10:30AM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 127,Medical-Surgical Nursing II,Fr 6:00AM - 6:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 127,Medical-Surgical Nursing II,We 7:00AM - 1:50PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 127,Medical-Surgical Nursing II,Th 6:00AM - 6:30PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 127,Medical-Surgical Nursing II,We 7:00AM - 1:50PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 127,Medical-Surgical Nursing II,Fr 7:00AM - 7:30PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 128,Medical-Surgical Nursing III,We 9:00AM - 12:10PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 128,Medical-Surgical Nursing III,Su 7:00AM - 8:15PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 128,Medical-Surgical Nursing III,We 9:00AM - 12:10PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 128,Medical-Surgical Nursing III,Fr 7:00AM - 8:15PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 128,Medical-Surgical Nursing III,We 9:00AM - 12:10PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 128,Medical-Surgical Nursing III,Mo 7:00AM - 6:20PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 128,Medical-Surgical Nursing III,We 9:00AM - 12:10PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 128,Medical-Surgical Nursing III,Mo 7:00AM - 11:50AM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 129,Gerontology & Community Based Nursing,Tu 2:00PM - 4:30PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 129,Gerontology & Community Based Nursing,Fr 7:00AM - 1:30PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 129,Gerontology & Community Based Nursing,Tu 2:00PM - 4:30PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 129,Gerontology & Community Based Nursing,Fr 2:30PM - 9:00PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 129,Gerontology & Community Based Nursing,Tu 2:00PM - 4:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 129,Gerontology & Community Based Nursing,Fr 7:00AM - 1:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 129,Gerontology & Community Based Nursing,Tu 2:00PM - 4:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 129,Gerontology & Community Based Nursing,Fr 2:30PM - 9:00PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 130,Psychiatric-Mental Health Nursing,We 9:00AM - 12:30PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 130,Psychiatric-Mental Health Nursing,Tu 6:00AM - 1:00PM3Hr 25Min /Wk TBA,02/04/2019 - 03/29/201902/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 130,Psychiatric-Mental Health Nursing,We 9:00AM - 12:30PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 130,Psychiatric-Mental Health Nursing,Th 7:00AM - 5:30PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 130,Psychiatric-Mental Health Nursing,We 9:00AM - 12:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 130,Psychiatric-Mental Health Nursing,Tu 6:00AM - 1:00PM3Hr 25Min /Wk TBA,04/08/2019 - 05/31/201904/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 130,Psychiatric-Mental Health Nursing,We 9:00AM - 12:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 130,Psychiatric-Mental Health Nursing,Th 7:00AM - 5:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 131,Reproductive Nursing And Womens Health,Tu 7:00AM - 12:15PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 131,Reproductive Nursing And Womens Health,Th 7:00AM - 5:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 131,Reproductive Nursing And Womens Health,Tu 7:00AM - 12:15PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 131,Reproductive Nursing And Womens Health,Mo 7:00AM - 5:30PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 131,Reproductive Nursing And Womens Health,Tu 7:00AM - 12:15PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 131,Reproductive Nursing And Womens Health,Th 7:00AM - 6:20PM,02/04/2019 - 03/29/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 131,Reproductive Nursing And Womens Health,Tu 7:00AM - 12:15PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 131,Reproductive Nursing And Womens Health,Mo 7:00AM - 5:30PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 132,Care Of Children And Family,Th 8:00AM - 12:50PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 132,Care Of Children And Family,Tu 7:00AM - 4:50PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 132,Care Of Children And Family,Th 8:00AM - 12:50PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 132,Care Of Children And Family,Mo 1:40PM - 9:40PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 132,Care Of Children And Family,Th 8:00AM - 12:50PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 132,Care Of Children And Family,Mo 7:00AM - 6:20PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 132,Care Of Children And Family,Th 8:00AM - 12:50PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 132,Care Of Children And Family,Fr 7:00AM - 8:15PM,02/04/2019 - 03/27/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 133,Nursing Leadership & Management,We 8:00AM - 12:00PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 133,Nursing Leadership & Management,We 8:00AM - 12:00PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 133,Nursing Leadership & Management,We 8:00AM - 12:00PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
REGNRSG 133,Nursing Leadership & Management,We 8:00AM - 12:00PM,04/08/2019 - 05/31/2019,LA Trade-Technical College,REGNRSG,"400 W. Washington Blvd, Los Angeles, CA 90015"
